State/UT,Total,Male,Female
,,,
India,74.04,82.14,65.46
Andaman and Nicobar Islands[UT],86.63,90.27,82.43
Andhra Pradesh,67.02,74.88,59.15
Arunachal Pradesh,65.38,72.55,57.7
Assam,72.19,77.85,66.27
Bihar,61.8,71.2,51.5
Chhattisgarh,70.28,80.27,60.24
Chandigarh[UT],86.05,89.99,81.19
Dadra and Nagar Haveli[UT],76.34,85.17,64.32
Daman and Diu[UT],87.1,91.54,79.55
Dadra and Nagar Haveli and Daman and Diu[UT][note 1],-,-,-
Delhi[UT],86.21,90.94,80.76
Goa,88.7,92.65,84.66
Gujarat,78.03,85.75,69.68
Haryana,75.55,84.06,65.94
Himachal Pradesh,82.8,89.53,75.93
Jammu and Kashmir[UT][note 2],67.16,76.75,56.43
Jharkhand,66.41,76.84,55.42
Karnataka,75.36,82.47,68.08
Kerala,94,96.11,91.07
Lakshadweep[UT],91.85,95.56,87.95
Ladakh[UT][note 3],-,-,-
Madhya Pradesh,69.32,78.73,59.24
Maharashtra,82.34,88.38,75.87
Manipur,76.94,83.58,70.26
Meghalaya,74.43,75.95,72.89
Mizoram,99.01,93.35,89.27
Nagaland,79.55,82.75,76.11
Odisha,72.87,81.59,64.01
Puducherry[UT],85.85,91.26,80.67
Punjab,75.84,80.44,70.73
Rajasthan,66.11,79.19,52.12
Sikkim,81.42,86.55,75.61
Tamil Nadu,80.09,86.77,73.44
Telangana[note 4],-,-,-
Tripura,87.22,92.53,82.73
Uttarakhand,78.82,87.4,70.01
Uttar Pradesh,67.68,77.28,57.18
West Bengal,76.36,81.69,70.54
